Postal code,n_positives,city
28804,0,Madrid
28805,0,Madrid
28806,5,Madrid
28816,1,Madrid
28821,0,Coslada
28822,0,Madrid
28823,4,Madrid
28830,1,Madrid
28850,36,Madrid
28860,2,Madrid
28863,5,Madrid
28891,0,Madrid
28901,0,Madrid
28903,11,Madrid
28906,1,Madrid
28911,1,Madrid
28912,3,Madrid
28913,3,Madrid
28915,1,Madrid
28916,2,Madrid
28917,3,La Fortuna
28918,5,Madrid
28919,1,Madrid
28922,0,Alcorcón
28924,5,Madrid
28925,3,Madrid
28931,0,Madrid
28932,2,Madrid
28933,0,Mostoles
28935,0,Madrid
28938,5,Madrid
28939,3,Madrid
28942,2,Madrid
28943,1,Madrid
28944,2,Madrid
28945,1,Madrid
28970,2,Madrid
28971,17,Madrid
28976,0,Madrid
28981,4,Madrid
28982,2,Madrid
28983,8,Madrid
29002,9,Málaga
29003,1,Málaga
29004,4,Málaga
29007,1,Málaga
29010,21,Málaga
29013,2,Málaga
29014,6,Málaga
29016,3,Málaga
29100,11,Coin
29110,0,Málaga
29120,2,Málaga
29140,7,Málaga
29200,24,Málaga
29220,2,Málaga
29310,5,Málaga
29312,6,Málaga
29320,22,Málaga
29327,2,Málaga
29328,0,Campillos
29330,1,Málaga
29380,2,Málaga
29400,5,Málaga
29510,1,Málaga
29532,1,Málaga
29540,0,Málaga
29550,2,Málaga
29560,0,Málaga
29580,1,Málaga
29600,0,Málaga
29601,19,Málaga
29602,11,Málaga
29603,6,Málaga
29620,9,Málaga
29630,1,Málaga
29631,6,Málaga
29640,0,Málaga
29649,4,Mijas Costa
29650,3,Málaga
29651,6,Málaga
29660,0,Málaga
29670,9,Málaga
29678,3,Málaga
29680,9,Málaga
29689,1,Málaga
29693,0,Málaga
29700,1,Málaga
29713,0,Málaga
29730,0,Málaga
29740,2,Málaga
29770,0,Málaga
29780,2,Málaga
29790,6,Málaga
29793,0,Málaga
30001,3,Murcia
30006,0,Murcia
30007,1,Murcia
30008,8,Murcia
30010,3,Murcia
30100,0,Murcia
30107,0,Murcia
30110,2,Murcia
30150,1,Murcia
30161,5,Murcia
30170,3,Murcia
30201,0,Murcia
30204,12,Murcia
30205,0,Murcia
30310,0,Murcia
30353,0,Cartagena
30360,10,Murcia
30392,0,Murcia
30394,0,Canteras
30400,52,Murcia
30410,0,Murcia
30420,2,Murcia
