Postal code,Value test,City,Geo Location
8370.0,-1,Barcelona,"{""latitude"":41.6159229,""longitude"":2.6635098}"
8389.0,0,Barcelona,"{""latitude"":41.66597178609769,""longitude"":2.7367146667755575}"
8392.0,1,Barcelona,"{""latitude"":41.5732184,""longitude"":2.4832679}"
8397.0,3,Barcelona,"{""latitude"":41.6223254,""longitude"":2.6699204}"
8398.0,1,Barcelona,"{""latitude"":41.6372421,""longitude"":2.7185935}"
8410.0,-1,Barcelona,"{""latitude"":""41.5525268"",""longitude"":""2.2864519""}"
8420.0,4,Barcelona,"{""latitude"":41.6198912,""longitude"":2.2798174}"
8440.0,8,Barcelona,"{""latitude"":41.6396666,""longitude"":2.3650048}"
8445.0,0,Barcelona,"{""latitude"":""41.6905141"",""longitude"":""2.3613959""}"
8460.0,8,Barcelona,"{""latitude"":41.6931063,""longitude"":2.4437055}"
8490.0,2,Barcelona,"{""latitude"":41.7055462,""longitude"":2.6753846}"
8500.0,0,Barcelona,"{""latitude"":41.9299018,""longitude"":2.2653639}"
8520.0,100,Barcelona,"{""latitude"":41.6276264,""longitude"":2.2947037}"
8530.0,0,Barcelona,"{""latitude"":""41.69133405559552"",""longitude"":""2.286584708151246""}"
8553.0,-1,Barcelona,"{""latitude"":41.837685,""longitude"":2.2807746}"
8620.0,3,Barcelona,"{""latitude"":41.3889293,""longitude"":2.0091105}"
8629.0,10,Barcelona,"{""latitude"":41.35595103087283,""longitude"":1.9811969173543116}"
8635.0,0,Barcelona,"{""latitude"":41.49529836817165,""longitude"":1.8437322566675214}"
8640.0,1,Barcelona,"{""latitude"":41.5437756,""longitude"":1.8898142}"
8700.0,7,Barcelona,"{""latitude"":41.5812026,""longitude"":1.6185998}"
8711.0,3,Barcelona,"{""latitude"":""41.6034063"",""longitude"":""1.6205686""}"
8720.0,16,Barcelona,"{""latitude"":41.3459753,""longitude"":1.7024279}"
8740.0,2,Barcelona,"{""latitude"":41.4470644,""longitude"":1.9672826}"
8750.0,4,Barcelona,"{""latitude"":41.4098176,""longitude"":2.0200655}"
8754.0,0,Barcelona,"{""latitude"":41.4566392,""longitude"":2.005623}"
8757.0,11,Barcelona,"{""latitude"":41.4182708,""longitude"":1.9247873}"
8769.0,1,Barcelona,"{""latitude"":""41.4585099"",""longitude"":""1.94099""}"
8770.0,7,Barcelona,"{""latitude"":41.4257673,""longitude"":1.7812672}"
8781.0,5,Barcelona,"{""latitude"":41.53560330919075,""longitude"":1.7713793068427}"
8783.0,1,Barcelona,"{""latitude"":41.5027147968936,""longitude"":1.8133956130538125}"
8786.0,10,Barcelona,"{""latitude"":41.5292191,""longitude"":1.6835492}"
8790.0,-4,Barcelona,"{""latitude"":41.4430338,""longitude"":1.866221}"
8791.0,1,Barcelona,"{""latitude"":41.4659325,""longitude"":1.8233046}"
8795.0,2,Barcelona,"{""latitude"":41.34667510824426,""longitude"":1.8469262219423381}"
8800.0,10,Barcelona,"{""latitude"":41.2219268,""longitude"":1.7141358}"
8810.0,13,Barcelona,"{""latitude"":41.2588825,""longitude"":1.7758557}"
