Postal code,Dudoso,Error,Invalido,Inválido,Negativo,Positivo,Positivo Fuerte
08370,1,0,0,0,4,1,0
08389,0,0,0,0,4,0,0
08392,0,1,0,0,9,2,0
08397,0,0,0,0,47,3,0
08398,0,0,0,0,19,1,0
08410,0,1,0,0,0,0,0
08420,0,2,0,0,69,6,0
08440,0,0,0,0,11,8,0
08445,0,0,0,0,9,0,0
08460,1,1,0,0,36,11,0
08490,0,0,0,0,4,2,0
08500,0,1,0,0,4,1,0
08520,12,167,0,0,516,291,0
08530,0,0,0,0,3,0,0
08553,0,1,0,0,17,0,0
08620,0,0,0,0,13,3,0
08629,0,2,0,0,32,12,0
08635,0,0,0,0,2,0,0
08640,0,0,0,0,16,1,0
08700,1,5,0,0,117,14,0
08711,0,0,0,0,68,3,0
08720,1,3,0,0,96,21,0
08740,1,3,0,0,101,7,0
08750,1,1,0,0,101,7,0
08754,0,0,0,0,1,0,0
08757,2,0,0,0,120,15,0
08769,0,0,0,0,0,1,0
08770,0,2,0,0,83,9,0
08781,0,2,0,0,13,7,0
08783,1,1,0,0,86,4,0
08786,2,1,0,0,78,15,0
08790,3,0,0,0,27,2,0
08791,0,0,0,0,9,1,0
08795,0,0,0,0,2,2,0
08800,3,2,0,0,142,18,0
08810,0,0,0,0,110,13,0
08811,1,1,0,0,131,21,0
08812,0,0,0,0,1,0,0
08820,0,0,0,0,4,0,0
08830,0,0,0,0,85,1,0
08840,0,0,0,0,7,1,0
08850,1,2,0,0,146,7,0
08859,0,0,0,0,1,0,0
08860,2,4,0,0,266,10,0
08870,0,0,0,0,54,4,0
08901,2,3,0,0,101,7,0
08902,0,0,0,0,1,0,0
08903,0,0,0,0,1,0,0
08904,0,3,0,0,2,1,0
08907,0,0,0,0,8,1,0
08912,0,0,0,0,3,0,0
08914,1,0,0,0,52,8,0
08921,0,0,0,0,5,0,0
08922,0,0,0,0,3,0,0
08924,0,1,0,0,135,0,0
08930,1,0,0,0,8,0,0
08940,2,0,0,0,1,1,0
08950,0,1,0,0,71,2,0
08960,0,0,0,0,22,0,0
08970,0,0,0,0,1,0,0
08980,2,5,0,0,131,5,0
09006,0,0,0,0,17,1,0
09007,1,0,0,0,61,1,0
09400,0,1,0,0,4,0,0
09500,0,0,0,0,6,1,0
09550,0,0,0,0,1,0,0
10001,0,1,0,0,0,0,0
10002,0,0,0,0,1,0,0
10004,0,0,0,0,2,0,0
10005,3,1,0,0,69,28,0
10300,0,0,0,0,1,1,0
10400,0,0,0,0,10,5,0
10600,0,0,0,0,2,0,0
10800,0,0,0,0,19,6,0
10840,0,0,0,0,10,1,0
11001,0,0,0,0,7,0,0
11004,0,0,0,0,3,0,0
11008,0,0,0,0,29,1,0
11100,0,1,0,0,18,3,0
11130,0,1,0,0,158,21,0
11139,0,0,0,0,1,0,0
11140,0,0,0,0,1,1,0
11150,0,0,0,0,19,5,0
11160,0,2,0,0,9,1,0
11203,0,0,0,0,78,3,0
11204,0,0,0,0,138,7,0
11206,0,0,0,0,1,0,0
11300,0,0,0,0,45,1,0
11310,0,0,0,0,3,0,0
11311,0,1,0,0,3,1,0
11360,2,1,0,0,25,4,0
11370,0,0,0,0,3,0,0
11402,0,0,0,0,12,0,0
11405,2,0,0,0,38,0,0
11406,0,0,0,0,14,1,0
11407,0,0,0,0,13,4,0
11408,0,2,0,0,34,8,0
11500,4,7,0,0,154,12,0
11510,2,0,0,0,44,6,0
11519,0,0,0,0,17,2,0
11520,0,0,0,0,2,0,0
11540,0,0,0,0,16,1,0
11630,0,0,0,0,8,0,0
11650,0,0,0,0,0,1,0
11680,4,0,0,0,24,6,0
12003,0,0,0,0,1,0,0
12004,0,0,0,0,35,7,0
12005,0,0,0,0,3,2,0
12006,1,0,0,0,90,8,0
12110,0,1,0,0,275,51,0
12190,0,0,0,0,4,0,0
12200,0,0,0,0,5,4,0
12420,0,0,0,0,1,0,0
12428,0,0,0,0,1,0,0
12460,0,0,0,0,2,1,0
12500,0,0,0,0,22,5,0
12539,0,0,0,0,67,11,0
12540,0,0,0,0,3,4,0
12550,0,0,0,0,22,4,0
12560,3,2,0,0,141,8,0
12580,3,0,0,0,33,9,0
12590,0,1,0,0,4,0,0
12594,3,0,0,0,8,0,0
12598,0,0,0,0,2,0,0
12600,1,6,0,0,46,4,0
13001,0,0,0,0,1,0,0
13003,0,0,0,0,5,2,0
13004,0,0,0,0,0,1,0
13005,0,0,0,0,5,0,0
13100,0,2,0,0,12,3,0
13170,0,0,0,0,3,1,0
13195,0,0,0,0,1,0,0
13200,0,0,0,0,2,0,0
13240,0,0,0,0,1,1,0
13250,3,1,0,0,105,22,0
13260,0,0,0,0,1,0,0
13270,0,0,0,0,19,2,0
13300,0,0,0,0,5,5,0
13320,0,1,0,0,17,3,0
13370,0,0,0,0,0,1,0
13380,0,0,0,0,1,0,0
13400,0,0,0,0,9,2,0
13500,0,0,0,0,11,7,0
13580,0,0,0,0,1,1,0
13600,0,0,0,0,11,1,0
13620,0,0,0,0,4,2,0
13640,0,0,0,0,1,0,0
13650,0,0,0,0,1,0,0
13670,1,0,0,0,34,7,0
13700,0,0,0,0,25,1,0
13770,0,0,0,0,1,0,0
