id,geo_location,city,postal_code,text_test
174113,"{""latitude"":38.5390913,""longitude"":-8.8543673}",Setúbal,2910-298,Positive
173980,"{""latitude"":41.62775952,""longitude"":2.29530357}",les Franqueses del Vallès,8520,Positive
173888,"{""latitude"":37.4666591,""longitude"":-5.6487153}",Carmona,41410,StrongPositive
173730,"{""latitude"":43.3682405,""longitude"":-5.8223254}",Oviedo,33010,StrongPositive
173713,"{""latitude"":39.45010960422907,""longitude"":-0.39257317934694447}",València,46017,Positive
173506,"{""latitude"":40.9971031,""longitude"":-3.6375203}",Buitrago del Lozoya,28730,Positive
172961,"{""latitude"":41.62755688239282,""longitude"":2.2950881027645593}",les Franqueses del Vallès,8520,Positive
172665,"{""latitude"":37.4207093,""longitude"":-6.1204606}",Salteras,41909,StrongPositive
172379,"{""latitude"":38.90678852523873,""longitude"":-6.61029279497459}",Montijo,6480,StrongPositive
171829,"{""latitude"":37.1371017,""longitude"":-8.017464}",Loulé,8100-500,Positive
170012,"{""latitude"":41.6138467,""longitude"":-0.704147}",Alfajarín,50172,Positive
169026,"{""latitude"":38.90677788815899,""longitude"":-6.610293177742869}",Montijo,6480,Positive
168633,"{""latitude"":37.3285264,""longitude"":-5.8536166}",Alcalá de Guadaíra,41500,StrongPositive
168252,"{""latitude"":37.1984233,""longitude"":-3.6151583}",Granada,18014,Positive
167104,"{""latitude"":37.4173872,""longitude"":-6.4039054}",Paterna del Campo,21880,Positive
167036,"{""latitude"":36.5171763,""longitude"":-4.8892275}",Marbella,29601,Positive
166945,"{""latitude"":41.6120612,""longitude"":-0.7019034}",Alfajarín,50172,Positive
166158,"{""latitude"":40.4338482,""longitude"":-3.7087674}",Madrid,28015,StrongPositive
165987,"{""latitude"":41.627521022983736,""longitude"":2.295059736030423}",les Franqueses del Vallès,8520,Positive
165457,"{""latitude"":40.6752089,""longitude"":-3.6223475}",San Agustín del Guadalix,28750,StrongPositive
165254,"{""latitude"":41.62753106272096,""longitude"":2.295092564424557}",les Franqueses del Vallès,8520,Positive
164457,"{""latitude"":37.4173822,""longitude"":-6.4038966}",Paterna del Campo,21880,Positive
163091,"{""latitude"":36.5951227,""longitude"":-6.2412116}",El Puerto de Santa María,11500,Positive
162568,"{""latitude"":36.638728,""longitude"":-4.4892794}",Torremolinos,29620,Positive
162011,"{""latitude"":38.6376029,""longitude"":-0.8704419}",Villena,3400,StrongPositive
161703,"{""latitude"":37.38310716728409,""longitude"":-5.949835650465193}",Sevilla,41006,StrongPositive
161280,"{""latitude"":41.5221284,""longitude"":-5.3889996}",Toro,49800,Positive
160263,"{""latitude"":37.1979814,""longitude"":-3.6199645}",Granada,18014,StrongPositive
158380,"{""latitude"":41.345974,""longitude"":1.7023585}",Vilafranca del Penedès,8720,StrongPositive
